route_id,incoming_bus,route_name
101,101,101. Route 101
112,112,112. Route 112
118,118,118. Route 118
121,121,121. Route 121
211,211,211. Route 211
216,216,216. Route 216
224,224,224. Route 224
227,227,227. Route 227
301,301,301. Route 301
302,302,302. Route 302
306,306,306. Route 306
319,319,319. Route 319
392,392,392. Route 392
403,403,403. Route 403
405,405,405. Route 405
407,407,407. Route 407
409,409,409. Route 409
410,410,410. Route 410
411,411,411. Route 411
419,419,419. Route 419
421,421,421. Route 421
423,423,423. Route 423
502,502,502. Route 502
507,507,507. Route 507
605,605,605. Route 605
900,900,900. PULSE 900
901,901,901. PULSE 901
902,902,902. Route 902
905,905,905. Route 905
915,915,915. PULSE 915
916,916,916. PULSE 916
917,917,917. Route 917
920,920,920. Route 920
921,921,921. Route 921
N1,N1,N1. Route N1
N2,N2,N2. Route N2
