route_id,trip_id,trip_headsign,direction_id
101,3001__201037_Timetable_-_2025-02,A - Bay Ridges,0
101,2997__201072_Timetable_-_2025-02,Bay Ridges,1
112,32__201033_Timetable_-_2025-02,C - Taunton,0
112,1391__201004_Timetable_-_2025-02,Pickering Parkway Terminal,1
118,4767__201085_Timetable_-_2025-02,Pickering Parkway Terminal,1
118,4755__201084_Timetable_-_2025-02,Taunton,0
121,3772__201070_Timetable_-_2025-02,A - Pickering Parkway,0
121,3722__201069_Timetable_-_2025-02,A - Pickering Station,1
121,3718__201071_Timetable_-_2025-02,Pickering Station,1
121,3691__261010_Timetable_-_2025-02,Pickering Parkway Terminal,0
121,3666__261015_Timetable_-_2025-02,B - West Shore,1
211,5333__201067_Timetable_-_2025-02,Pickering Parkway Terminal,1
211,5322__201067_Timetable_-_2025-02,Ajax Station,0
211,5345__201065_Timetable_-_2025-02,Church,1
216,2316__261004_Timetable_-_2025-02,Taunton,0
216,2304__261003_Timetable_-_2025-02,Ajax Station,1
216,5184__201073_Timetable_-_2025-02,C - Audley,0
224,2334__201076_Timetable_-_2025-02,Ajax Station,1
224,2323__201016_Timetable_-_2025-02,Taunton,0
224,5267__201018_Timetable_-_2025-02,B - Kingston,1
227,5358__201061_Timetable_-_2025-02,South Ajax,1
227,5346__201064_Timetable_-_2025-02,A - South Ajax,0
301,3508__201032_Timetable_-_2025-02,Taunton,0
301,3510__201032_Timetable_-_2025-02,Whitby Station,1
302,3077__201011_Timetable_-_2025-02,B - Anderson,0
302,1576__201023_Timetable_-_2025-02,North Campus,0
302,1581__261026_Timetable_-_2025-02,Whitby Station,1
306,5377__201036_Timetable_-_2025-02,Whitby Station,1
306,5371__201039_Timetable_-_2025-02,A - Whitby Station,0
319,1584__201029_Timetable_-_2025-02,Whitby Station,1
319,1617__201029_Timetable_-_2025-02,Taunton,0
392,1580__201025_Timetable_-_2025-02,Ontario Shores,1
392,1583__201015_Timetable_-_2025-02,Whitby Station,0
403,100__401011_Timetable_-_2025-02,Oshawa Centre Terminal,0
403,1025__401068_Timetable_-_2025-02,B - Phillip Murray,1
403,109__401010_Timetable_-_2025-02,Oshawa Station,1
405,143__401030_Timetable_-_2025-02,Harmony,0
405,142__401010_Timetable_-_2025-02,Oshawa Centre Terminal,1
407,209__401011_Timetable_-_2025-02,Harmony,0
407,208__401017_Timetable_-_2025-02,Raleigh,1
407,207__401010_Timetable_-_2025-02,C - Harmony,0
407,211__401008_Timetable_-_2025-02,A - Raleigh,1
409,1069__401024_Timetable_-_2025-02,Windfields Farm,0
409,1076__401027_Timetable_-_2025-02,C - Windfields Farm,0
409,1094__401028_Timetable_-_2025-02,Oshawa Centre Terminal,1
409,1100__401024_Timetable_-_2025-02,C - Oshawa Centre Terminal,1
409,1111__401027_Timetable_-_2025-02,A - Oshawa Centre Terminal,1
410,273__401004_Timetable_-_2025-02,Harmony Terminal,0
410,1119__401004_Timetable_-_2025-02,Oshawa Centre Terminal,1
411,2429__461018_Timetable_-_2025-02,B - Raleigh,0
411,2332__461018_Timetable_-_2025-02,Courtice,0
411,2373__461023_Timetable_-_2025-02,Oshawa Centre Terminal,1
419,4013__401028_Timetable_-_2025-02,Windfields Farm,1
419,3988__401024_Timetable_-_2025-02,Harmony Terminal,0
421,5146__401040_Timetable_-_2025-02,B - Raleigh,0
421,5136__401033_Timetable_-_2025-02,C - Courtice,0
421,5140__401040_Timetable_-_2025-02,Courtice,0
421,5094__401018_Timetable_-_2025-02,Oshawa Station,1
421,5102__401051_Timetable_-_2025-02,A - Oshawa Station,1
421,5122__401069_Timetable_-_2025-02,A - Courtice,0
423,1055__401003_Timetable_-_2025-02,Oshawa Centre Terminal,1
423,1044__401088_Timetable_-_2025-02,Harmony Terminal,0
502,5413__401021_Timetable_-_2025-02,C - Simpson,0
